,metric,NCE average,KCE average,p-value
0,2-norm,8.318797083333333,4.933066666666667,1.0705514540771267e-38
1,Pearson Coefficient,0.2957333199518909,0.6073276579911708,2.367107063012579e-28
2,cross correlation,0.34409164303822504,0.7111516868176416,1.0448746042971261e-58
3,Bhattacharyya distance,0.6936926890494667,0.5072689698456166,5.284913943039645e-29
4,fft,0.20455752624851,0.48994517825245665,3.9935582677857704e-27
