,metric,CE average,KCE average,p-value
0,2-norm,5.416526916666666,4.942153083333333,0.0029735282129870833
1,Pearson Coefficient,0.55058786823019,0.6187594901409816,0.006633319252592379
2,cross correlation,0.6891738012534584,0.7121489135586749,0.11312134459825378
3,Bhattacharyya distance,0.53960801889885,0.5055288470577334,0.02723448872913045
4,fft,0.42421040508365415,0.4971999675143542,0.003528924584729056
